'UID', 'Smelly Rules', 'Additional Infos'
'967bd255-b1ea-4e74-8fc0-d9bf25dacef2', '[11, 14, 15, 20]', ''
'cef7d469-7797-460c-948f-1e40798b1b46', '[11, 14, 15, 20]', ''
'edcfdb1d-6a6a-4e3f-8f38-2a6b5e728125', '[11, 14, 15, 20]', ''
'e47672d6-4fe6-4093-af2d-34be19a3de64', '[11, 14, 15, 20]', ''
'06743c93-07f4-4f96-9d66-c24b0254001c', '[11, 14, 15, 20]', ''
