'UID', 'Smelly Rules', 'Additional Infos'
'dcbdaf7b-98f4-459f-acef-10e945f4eb12', '[16, 17, 18, 21]', ''
'b0b9502d-adbc-4267-8f25-b935f5c1002b', '[16, 17, 18, 21]', ''
'96a272f8-68da-4ace-9b52-06193e6b980e', '[16, 17, 18, 21]', ''
'1c5a48cd-345e-4a48-b254-1c5ff4ebf2a9', '[16, 17, 18, 21]', ''
'9b787e27-009d-436c-b6e2-dcacc78e91ab', '[16, 17, 18, 21]', ''
