'UID', 'Smelly Rules'
'0853213d-8862-43fe-8e27-5293c1708d9d', '[]'
'2d999e30-ae3f-4e09-b756-44ee4c9abf78', '[]'
'4b81ee34-785c-43cb-8516-ef1238c438c8', '[]'
'e64a9a07-df54-429e-bc57-3528afafcd4f', '[]'
'b64dfa29-c943-495c-83b0-e42b88f56db0', '[]'
