Ground Truth;Smelly Rules;UUID
True;;a34b28b6-1362-4010-a993-ebcf28b8d715
True;;b6a50411-51cf-47bb-8e86-e88c88106863
True;;7eb24db1-b65c-45d6-a2d7-8881b25c562
True;;35b5800f-224d-4374-a87e-815efc0046e9
True;;080a9145-ed5e-466b-b005-57b27550f6c0
False;89;275f2f9f-670c-496d-8e80-90b654c445aa
False;8, 9, ;1d00b246-7a24-4165-9e84-b34008239c59
False;8, 9;14f9420f-a7f3-4ac1-ace5-1859cc954245
